Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[980],SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN,,18.72,18.72,-155.19,-155.19,SUBAQUATIC,-4977,-4977,s 2335-9 [980],PICRITE [980],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [980] ,205718.1435,9769.241999999998,,40381.8513,,,,96152.01,55174.84,138216.768,1316.5786,,2905.5249999999996,9421.5839,698.2736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.01,,233.71,1874.25,1382.74,,124.79,1151.77,148.17,102.07,,,,,,6.52,251.83,15.49,94.87,13.03,,,,,,,,,,,,,91.73,9.81,18.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12065
[980],SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN,,18.72,18.72,-155.19,-155.19,SUBAQUATIC,-4814,-4814,s 2335-11 [980],PICRITE [980],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [980] ,207634.62700000004,11267.591999999999,,46679.938200000004,,,,97473.42,56890.12,122417.12,1316.5786,,3735.675,11795.5263,872.8420000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.08,,266.04,1411.15,1396.05,,117.72,990.81,116.96,108.04,,,,,,8.33,304.84,18.1,114.8,16.02,,,,,,,,,,,,,123.11,14.77,19.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12067
[980],SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN,,18.72,18.72,-155.19,-155.19,SUBAQUATIC,-4614,-4614,s 2335-12-1 [980],PICRITE [980],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [980] ,204783.27350000004,7791.42,,35089.3413,,,,93276,44525.810000000005,162700.19199999998,1316.5786,,1992.36,7121.8272,523.7052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,,199.12,2011.16,1337.25,,127.34,1503.66,126.05,98.22,,,,,,4.09,190.93,12.91,73.48,10.97,,,,,,,,,,,,,70.63,9.68,11.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12068
[980],SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN,,18.72,18.72,-155.19,-155.19,SUBAQUATIC,-4614,-4614,s 2335-12-2 [980],PICRITE [980],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [980] ,203708.173,7671.552,,34030.8393,,,,93198.27,43239.35,166499.34399999998,1239.1328,,1992.36,6899.2701,523.7052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,194.79,2041.18,1337.5,,128.61,1547.81,113.53,96.39,,,,,,4.2,189.28,12.19,71.79,10.31,,,,,,,,,,,,,68.9,6.07,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12069
[980],SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN,,18.72,18.72,-155.19,-155.19,SUBAQUATIC,-4614,-4614,s 2335-12-3 [980],PICRITE [980],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [980] ,204783.27350000004,7911.288,,35724.442500000005,,,,93353.73,45026.1,161855.936,1316.5786,,1992.36,7047.6415,523.7052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.39,,187.24,2044.9,1294.39,,121.29,1479.05,125.62,97.37,,,,,,3.64,193.64,12.32,73.83,10.46,,,,,,,,,,,,,63.39,8.77,8.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12070
[980],SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN,,18.72,18.72,-155.19,-155.19,SUBAQUATIC,-4860,-4860,s 2336-1 [980],PICRITE [980],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [980] ,213571.0515,12466.271999999999,,54354.0777,,,,93120.54000000001,68396.79000000001,98355.824,1316.5786,,4399.795,12611.569,872.8420000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.94,,305.53,1142.46,1344.16,,97.26,704.62,153.35,105.91,,,,,,7.48,319.03,19.79,113.85,16.52,,,,,,,,,,,,,125.93,15.05,20.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12071
[980],SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN,,18.72,18.72,-155.19,-155.19,SUBAQUATIC,-4820,-4820,s 2336-2 [980],PICRITE [980],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [980] ,209364.13650000002,12166.601999999999,,50067.14460000001,,,,97473.42,61321.26,110899.056,1316.5786,,4150.75,13279.2403,960.1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.39,,275.66,1305.89,1359.82,,106.9,851.65,136.42,106.71,,,,,,8.57,325.36,19.55,112.8,16.72,,,,,,,,,,,,,132.23,15.41,27.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12072
[980],SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN,,18.72,18.72,-155.19,-155.19,SUBAQUATIC,-4780,-4780,s 2336-3 [980],PICRITE [980],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [980] ,209504.36700000003,9169.902,,42181.3047,,,,92498.7,53102.21,139664.06399999998,1316.5786,,2407.435,8828.0983,610.9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.36,,218.78,1761.88,1324.98,,124.46,1264.19,128.25,104.61,,,,,,4.68,225.7,15.04,86.59,12.48,,,,,,,,,,,,,73.81,13.18,11.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12073
[980],SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN,,18.72,18.72,-155.19,-155.19,SUBAQUATIC,-4810,-4810,s 2337-3 [980],PICRITE [980],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [980] ,218993.29750000002,12945.744,,55677.2052,,,,93897.84,69325.9,88707.184,1626.3618,,2905.5249999999996,12389.0119,829.1999000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.08,,321.42,1101.54,1803.67,,104.91,595.88,148.18,117.48,,,,,,6.03,274.23,23.91,122.74,13.8,,,,,,,,,,,,,89.09,19.71,23.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12074
[980],SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN,,18.72,18.72,-155.19,-155.19,SUBAQUATIC,-4795,-4795,s 2337-4 [980],PICRITE [980],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [980] ,214038.4865,11747.063999999998,,50172.99480000001,,,,94441.95,62536.25,106557.168,2865.4946,,2573.465,11276.2264,785.5577999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.53,,293.05,1356.35,3479.85,,122.79,818.41,145.47,101.81,,,,,,4.85,247.68,21.37,110.09,12.68,,,,,,,,,,,,,80.85,10.81,19.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12075
