Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[5231],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / GIMOLA-KOSTOMUKSHA GREENSTONE BELT / KOSTOMUKSHA SYNFORM - KONTOK GROUP,DRILL HOLE NO. 15,64.65,64.65,30.75,30.75,SUBAERIAL,,,s 138/93 [5231],RHYOLITE [5231],2800000000 [5231],2800000000 [5231],,ARCHEAN [5231],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5231] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.325,2.612,,,,,,,,,,,,,,,,,,,,,,,,0.510846,,,,,,,,,,,,,,,,,,,,,,,,168313
[5231],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / GIMOLA-KOSTOMUKSHA GREENSTONE BELT / KOSTOMUKSHA SYNFORM - KONTOK GROUP,DRILL HOLE NO. 15,64.65,64.65,30.75,30.75,SUBAERIAL,,,s 91147 [5231],RHYOLITE [5231],2800000000 [5231],2800000000 [5231],,ARCHEAN [5231],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5231] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,2.151,,,,,,,,,,,,,,,,,,,,,,,,0.510957,,,,,,,,,,,,,,,,,,,,,,,,168314
[5231],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / GIMOLA-KOSTOMUKSHA GREENSTONE BELT / KOSTOMUKSHA SYNFORM - GIMOLA GROUP,,64.65,64.65,30.75,30.75,SUBAERIAL,,,s 9354 [5231],CONGLOMERATE [5231],,,,ARCHEAN [5231],,,,,SEDIMENTARY ROCK,,,,,WHOLE_ROCK [5231] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.97,3.59,,,,,,,,,,,,,,,,,,,,,,,,0.511184,,,,,,,,,,,,,,,,,,,,,,,,168315
[5231],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / GIMOLA-KOSTOMUKSHA GREENSTONE BELT / KOSTOMUKSHA SYNFORM - KONTOK GROUP,DRILL HOLE NO. 15,64.65,64.65,30.75,30.75,SUBAERIAL,,,s 94113 [5231],KOMATIITE [5231],,,,ARCHEAN [5231],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5231] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.931,,15.158,,35.349,,,,,,,,,,,,,,,168333
[5231],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / GIMOLA-KOSTOMUKSHA GREENSTONE BELT / KOSTOMUKSHA SYNFORM - KONTOK GROUP,DRILL HOLE NO. 15,64.65,64.65,30.75,30.75,SUBAERIAL,,,s 9479_3N_LEACHATE [5231],KOMATIITE [5231],,,,ARCHEAN [5231],,,,OLIVINE SPINIFEX [5231] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5231] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.222,,15.016,,34.758,,,,,,,,,,,,,,,168336
[5231],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / GIMOLA-KOSTOMUKSHA GREENSTONE BELT / KOSTOMUKSHA SYNFORM - KONTOK GROUP,DRILL HOLE NO. 15,64.65,64.65,30.75,30.75,SUBAERIAL,,,s 9479_6N_LEACHATE [5231],KOMATIITE [5231],,,,ARCHEAN [5231],,,,OLIVINE SPINIFEX [5231] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5231] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.225,,15.002,,34.777,,,,,,,,,,,,,,,168337
[5231],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / GIMOLA-KOSTOMUKSHA GREENSTONE BELT / KOSTOMUKSHA SYNFORM - KONTOK GROUP,DRILL HOLE NO. 15,64.65,64.65,30.75,30.75,SUBAERIAL,,,s 9495_6N_LEACHATE [5231],KOMATIITE [5231],,,,ARCHEAN [5231],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5231] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.216,,15.207,,35.621,,,,,,,,,,,,,,,168338
[5231],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / GIMOLA-KOSTOMUKSHA GREENSTONE BELT / KOSTOMUKSHA SYNFORM - KONTOK GROUP,DRILL HOLE NO. 15,64.65,64.65,30.75,30.75,SUBAERIAL,,,s 9496_1N_LEACHATE [5231],KOMATIITE [5231],,,,ARCHEAN [5231],,,,OLIVINE SPINIFEX [5231] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5231] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.656,,15.466,,36.865,,,,,,,,,,,,,,,168339
[5231],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / GIMOLA-KOSTOMUKSHA GREENSTONE BELT / KOSTOMUKSHA SYNFORM - KONTOK GROUP,DRILL HOLE NO. 15,64.65,64.65,30.75,30.75,SUBAERIAL,,,s 9496_3N_LEACHATE [5231],KOMATIITE [5231],,,,ARCHEAN [5231],,,,OLIVINE SPINIFEX [5231] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5231] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.766,,15.294,,35.961,,,,,,,,,,,,,,,168340
[5231],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / GIMOLA-KOSTOMUKSHA GREENSTONE BELT / KOSTOMUKSHA SYNFORM - KONTOK GROUP,DRILL HOLE NO. 15,64.65,64.65,30.75,30.75,SUBAERIAL,,,s 94109_6N_LEACHATE [5231],KOMATIITE [5231],,,,ARCHEAN [5231],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5231] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.705,,15.093,,35.257,,,,,,,,,,,,,,,168341
