Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[12143],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / TAIWAN / PENGHU ISLANDS,NIU-HSIN SHAN AREA,23.58,23.58,119.5,119.5,SUBAERIAL,,,s F-L [12143],THOLEIITE [12143],,,,NEOGENE [12143],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12143] ,232595.65600000002,11747.063999999998,,81504.65400000001,,,,75786.75,66109.75,46434.08,1006.7954,,2490.45,19139.9106,,,,,,,,,,,,,,,,,31700.,,,,,,,,,,,,,,4,,,,,,,,,,,,,,24.5,,,268,,,44,156,74,97,,,,,,4,195,,,,,,,,,,,,,,,,126,10.9,23.3,,14.2,4.1,1.5,,0.76,,,,,1.8,0.24,3.4,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,395340
[12143],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / TAIWAN / PENGHU ISLANDS,PENGHU,23.5,23.75,119.4,119.8,SUBAERIAL,,,s Y38 [12143],THOLEIITE [12143],,,,NEOGENE [12143],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12143] ,234418.65250000003,12046.733999999999,,70655.0085,,,,87834.90000000001,55746.6,55479.67999999999,1394.0244,,5728.035,18546.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,332,,,69,157,73,96,,,,,,22,244,,,,,,,,,,,,,,,,220,19.6,46.2,,22,5.8,1.6,,0.66,,,,,1.6,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395342
[12144],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / JILIN PROVINCE / JINGBOHU,,44,44.2,128.5,129,SUBAERIAL,,,s J-3-3 [12144],"THOLEIITE, QUARTZ [12144]",,,,EOCENE [12144],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12144] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,33,550,,95,,,,,,,,,,,,,,495,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,2.7,0.6,,,,0.705181,,17.056,,15.421,,36.847,,,,,,,,,,,,,,,395355
[12144],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / JILIN PROVINCE / JINGBOHU,,44,44.2,128.5,129,SUBAERIAL,,,s B-14 [12144],"THOLEIITE, QUARTZ [12144]",,,,EOCENE [12144],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12144] ,246198.01450000002,9949.043999999998,,80022.7512,,19233.5,57986.58,,57390.409999999996,30332.912,1006.7954,,8965.62,19807.581899999997,1265.6209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,30,586,,130,,,,,,,,,,,,,,564,,,,,,,,,,,,,,,,,,,,,,,,,6.72,,2.8,0.5,,,,0.705285,,17.232,,15.575,,37.468,,,,,,,,,,,,,,,395356
[12144],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / JILIN PROVINCE / JINGBOHU,,44,44.2,128.5,129,SUBAERIAL,,,s B-15 [12144],"THOLEIITE, QUARTZ [12144]",,,,EOCENE [12144],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12144] ,250264.69900000002,8870.232,,79175.9496,,17764.760000000002,57753.39,,56318.36,28282.576,929.3496,,11207.025000000001,19807.581899999997,1265.6209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,37,602,,138,,,,,,,,,,,,,,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512449,,,0.704977,,17.043,,15.389,,36.941,,,,,,,,,,,,,,,395357
[12140],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / FUJIAN PROVINCE,LIE(H)YU,24,24,118,118,SUBAERIAL,,,s SKM2-1 [12140],THOLEIITE [12140],,,UPPER [12140],MIOCENE [12140],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12140] ,238017.90200000003,8870.232,,77746.9719,,12169.56,68557.86,,64608.88,43961.615999999995,4027.1816,,4067.735,18768.982099999997,785.5577999999999,,,,,,,,,,,,,,,,27400.000000000004,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,21,,157,230,,,89,244,,,,,,,,14,272,21,105,,,,,,,,,,,,,,149,10.5,21.2,,13.3,3.46,1.27,,0.66,,,,,1.68,0.24,2.6,0.6,,,,,,,,,,,1,0,0.512764,,,0.70446,,,,,,,,,,,,,,,,,,,,,395413
[12140],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / FUJIAN PROVINCE,LIE(H)YU,24,24,118,118,SUBAERIAL,,,s SKM2-2 [12140],THOLEIITE [12140],,,UPPER [12140],MIOCENE [12140],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12140] ,245450.1185,8990.099999999999,,78434.9982,,12868.960000000001,68946.51,,64108.590000000004,44624.96,1161.687,,3652.66,18843.1678,741.9157,,,,,,,,,,,,,,,,12800.,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,20,,150,213,,,41,174,,,,,,,,12,257,18,101,,,,,,,,,,,,,,135,9.5,19.4,,10.9,3.52,1.28,,0.66,,,,,1.57,0.26,2.7,0.6,,,,,,,,,,,0.9,0,0.512759,,,0.70434,,,,,,,,,,,,,,,,,,,,,395414
[12140],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / FUJIAN PROVINCE,LIE(H)YU,24,24,118,118,SUBAERIAL,,,s SKM3-1 [12140],THOLEIITE [12140],,,UPPER [12140],MIOCENE [12140],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12140] ,244795.7095,9109.967999999999,,78170.3727,,13848.119999999999,67936.02,,64323,44323.439999999995,1161.687,,3735.675,20401.067499999997,829.1999000000001,,,,,,,,,,,,,,,,13100.,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,21,,154,217,,,41,168,,,,,,,,13,257,19,106,,,,,,,,,,,,,,140,9.1,18.5,,10.9,3.38,1.25,,0.53,,,,,1.55,0.22,2.7,0.7,,,,,,,,,,,1.2,0,0.512784,,,0.70423,,,,,,,,,,,,,,,,,,,,,395415
[12140],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / FUJIAN PROVINCE,LIE(H)YU,24,24,118,118,SUBAERIAL,,,s SKM3-2 [12140],THOLEIITE [12140],,,UPPER [12140],MIOCENE [12140],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12140] ,240074.616,9169.902,,78805.47390000001,,15386.800000000001,58142.04,,62035.96,40765.50399999999,3562.5068,,3735.675,20104.324699999997,872.8420000000001,,,,,,,,,,,,,,,,38100.,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,21,,155,213,,,106,344,,,,,,,,11,278,25,113,,,,,,,,,,,,,,294,10.9,18.6,,11.5,3.3,1.23,,0.52,,,,,1.65,0.2,2.4,0.7,,,,,,,,,,,1.3,0.3,0.512807,,,0.70431,,,,,,,,,,,,,,,,,,,,,395416
[12140],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / FUJIAN PROVINCE,CHINMEN,24,24,118,118,SUBAERIAL,,,s KM13 [12140],THOLEIITE [12140],,,UPPER [12140],MIOCENE [12140],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12140] ,229650.81550000003,10308.648,,82510.23090000001,,36368.8,47493.030000000006,,61821.55,36363.312,1084.2412000000002,,1992.36,18694.7964,960.1262,,,,,,,,,,,,,,,,48000.,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,22,,145,261,,,40,175,,,,,,,,3,331,19,134,,,,,,,,,,,,,,163,13.4,24,,12.2,4.08,1.46,,0.83,,,,,1.76,0.27,3.2,1.1,,,,,,,,,,,1.2,0,0.512689,,,0.70428,,,,,,,,,,,,,,,,,,,,,395417
