Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[4744],OCEAN ISLAND,CANARY ISLANDS / GRAN CANARIA / MOGAN FORMATION / ATLANTIC OCEAN,IGNIMBRITE A,27.5,28,-15.5,-15.8,SUBAERIAL,,,s AIII-F3-BTO [4744],TRACHYTE [4744],,,,MIOCENE [4744],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4744] ,308974.535,4554.9839999999995,,82404.38070000001,,,,22697.16,6003.48,2713.68,929.3496,,30715.550000000003,56900.431899999996,610.9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,6,,,106,32,,,,,59,13,57,598,103,,,,,,,,,,,,,1574,103,194,26.2,98.8,17.4,5.65,15.7,2.13,11.4,2.14,5.58,0.741,4.43,0.598,,,,,,,,,,,10,,12,,,,,,,,,,,,,,,,,,,,,,,,,,103130
[4744],OCEAN ISLAND,CANARY ISLANDS / GRAN CANARIA / MOGAN FORMATION / ATLANTIC OCEAN,IGNIMBRITE A,27.5,28,-15.5,-15.8,SUBAERIAL,,,s AIII-F8-BTO [4744],TRACHYTE [4744],,,,MIOCENE [4744],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4744] ,315939.3165,4375.182,,81240.0285,,,,22386.239999999998,4859.96,2472.4639999999995,1084.2412000000002,,31462.685,54971.6037,436.42100000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,5,,,122,33,,,,,70,24,51,692,112,,,,,,,,,,,,,1512,59,293,,,,,,,,,,,,,,,,,,,,,,,6,,13,,,,,,,,,,,,,,,,,,,,,,,,,,103131
[4744],OCEAN ISLAND,CANARY ISLANDS / GRAN CANARIA / MOGAN FORMATION / ATLANTIC OCEAN,IGNIMBRITE A,27.5,28,-15.5,-15.8,SUBAERIAL,,,s AIV-F6-BTO [4744],TRACHYTE [4744],,,,MIOCENE [4744],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4744] ,313087.96300000005,4734.786,,84786.0102,,,,22697.16,6074.95,2713.68,1006.7954,,27976.055,56603.689099999996,654.6315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,6,,,111,37,,,,,57,22,49,562,97,,,,,,,,,,,,,2130,94.2,177,24.1,89.5,16.3,5.66,14.9,2.06,10.7,1.98,5.44,0.702,4.26,0.577,,,,,,,,,,,9,,8,,,,,,,,,,,,,,,,,,,,,,,,,,103132
[4844],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA / DIEGO HERNANDEZ FORMATION / ATLANTIC OCEAN,,28.3,28.3,-16.6,-16.6,SUBAERIAL,,,s TF21-1 [4844],"TRACHYTE, AEGIRINE-AUGITE [4844]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4844] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512867,,,0.703052,,,,,,,,,,,,,,,,,,,,,104568
[735],OCEAN ISLAND,AZORES / TERCEIRA / SANTA BARBARA / ATLANTIC OCEAN,PICO DO CARNHEIROS VENT,38.72,38.72,-27.22,-27.22,SUBAERIAL,,,s 89-39 [735],TRACHYTE [735],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,VOLCANIC GLASS [735] ,288874.83,1857.954,,88755.3927,,,,32568.870000000003,5288.78,964.8639999999999,1316.5786,,34119.165,41247.2492,130.9263,,,,,,,,,,,,,,,,55500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,14,91,1237,205,,,,,,,,,,,,,343,,234,,105,20.4,2.21,,2.95,,,,,9.13,1.52,27.9,14.1,,,,,,,,,,,18,7,,,,,,,,,,,,,,,,,,,,,,,,,10636
[735],OCEAN ISLAND,AZORES / TERCEIRA / SANTA BARBARA / ATLANTIC OCEAN,PICO DO CARNHEIROS VENT,38.72,38.72,-27.22,-27.22,SUBAERIAL,,,s 89-42 [735],TRACHYTE [735],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,VOLCANIC GLASS [735] ,275973.624,1917.888,,93889.1274,,,,34978.5,5717.6,783.952,1471.4702,,31296.655,38724.935399999995,174.5684,,,,,,,,,,,,,,,,74700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,25,98,1348,225,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,20,7.8,,,,,,,,,,,,,,,,,,,,,,,,,10637
[735],OCEAN ISLAND,AZORES / TERCEIRA / SANTA BARBARA / ATLANTIC OCEAN,PICO DO CARNHEIROS VENT,38.72,38.72,-27.22,-27.22,SUBAERIAL,,,s 89-43 [735],TRACHYTE [735],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,VOLCANIC GLASS [735] ,293315.4625,2037.756,,88967.0931,,,,33890.280000000006,5217.3099999999995,904.56,1316.5786,,36277.555,42285.849,130.9263,,,,,,,,,,,,,,,,42800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,25,102,1332,222,,,,,,,,,,,,,313,,,,,,,,,,,,,,,,,,,,,,,,,,,21,8.1,,,,,,,,,,,,,,,,,,,,,,,,,10638
[735],OCEAN ISLAND,AZORES / TERCEIRA / SANTA BARBARA / ATLANTIC OCEAN,PICO DO CARNHEIROS VENT,38.72,38.72,-27.22,-27.22,SUBAERIAL,,,s 89-72 [735],TRACHYTE [735],,,,,,,,DENSE [735] ,VOLCANIC ROCK,,,,,VOLCANIC GLASS [735] ,315471.8815,239.736,,77746.9719,,,,37621.32,4931.429999999999,60.303999999999995,1703.8076,,36028.51,48665.8192,130.9263,,,,,,,,,,,,,,,,1800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,11,85,984,183,,,,,,,,,,,,,614,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5.6,,,,,,,,,,,,,,,,,,,,,,,,,10639
[735],OCEAN ISLAND,AZORES / TERCEIRA / SANTA BARBARA / ATLANTIC OCEAN,PICO DO CARNHEIROS VENT,38.72,38.72,-27.22,-27.22,SUBAERIAL,,,s 89-73 [735],TRACHYTE [735],,,,,,,,DENSE [735] ,VOLCANIC ROCK,,,,,VOLCANIC GLASS [735] ,315612.112,239.736,,78117.4476,,,,38320.89,4931.429999999999,241.21599999999998,1703.8076,,36526.600000000006,46811.176699999996,130.9263,,,,,,,,,,,,,,,,4400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,11,85,984,185,,,,,,,,,,,,,597,,,,,,,,,,,,,,,,,,,,,,,,,,,15,6.7,,,,,,,,,,,,,,,,,,,,,,,,,10640
[735],OCEAN ISLAND,AZORES / TERCEIRA / SANTA BARBARA / ATLANTIC OCEAN,PICO DO CARNHEIROS VENT,38.72,38.72,-27.22,-27.22,SUBAERIAL,,,s 89-75 [735],TRACHYTE [735],,,,,,,,DENSE [735] ,VOLCANIC ROCK,,,,,VOLCANIC GLASS [735] ,317154.6475,239.736,,76953.0954,,,,38476.35,5074.37,,1703.8076,,36692.63,48888.376299999996,130.9263,,,,,,,,,,,,,,,,600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10,89,1021,189,,,,,,,,,,,,,498,,211,,96,19.7,3.47,,2.82,,,,,8.38,1.28,23,11.8,,,,,,,,,,,15,5.9,,,,,,,,,,,,,,,,,,,,,,,,,10642
