Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[5176],OCEAN ISLAND,KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT CROZIER / INDIAN OCEAN,,-48.55,-49.75,68.5,70.58,SUBAERIAL,,,s OB93-206 [5176],TRACHYBASALT [5176],24800000 [5176],24800000 [5176],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,6.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282862,,,,,,,117031
[5176],OCEAN ISLAND,KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT CROZIER / INDIAN OCEAN,,-48.55,-49.75,68.5,70.58,SUBAERIAL,,,s OB93-206_LEACHED [5176],TRACHYBASALT [5176],24800000 [5176],24800000 [5176],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282866,,,,,,,117032
[4202],OCEAN ISLAND,HEARD / HEARD / INDIAN OCEAN,,-53.12,-53.12,73.33,73.33,SUBAERIAL,,,s H-36 [4202],TRACHYBASALT [4202],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4202] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117613
[4202],OCEAN ISLAND,HEARD / HEARD / INDIAN OCEAN,,-53.12,-53.12,73.33,73.33,SUBAERIAL,,,s H-34 [4202],TRACHYBASALT [4202],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4202] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117614
[5172],OCEANIC PLATEAU,KERGUELEN PLATEAU / SKIFF BANK / SITE 1139 / INDIAN OCEAN,HOLE 1139A,-50.185,-50.185,63.94,63.94,SUBAQUATIC,-1427,-1427,"s 183-1139A-64R3,96-105 [5172]",TRACHYBASALT [5172],,,,,,,,,VOLCANIC ROCK,608,608,,,WHOLE_ROCK [5172] ,222499.06000000003,20437.494,,78858.399,,,,121725.18000000001,45240.51,15015.696,3794.8442,,20919.78,22552.4528,6240.820299999999,,,,,,,,,,,,,,,,141000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,4.66,,,,3.49,,,,,,,,29.6,255,53.3,345,40.3,,,,,,,,,,,,0.69,1096,51.7,111.2,14.3,60.9,13.1,5.11,13.2,1.83,9.95,1.88,4.57,,4.11,0.63,7.15,2.3,,,,,,,,,5.99,,2.93,0.49,,,,,,,,,,,,,,,,,,,,,,,,,118144
[5172],OCEANIC PLATEAU,KERGUELEN PLATEAU / SKIFF BANK / SITE 1139 / INDIAN OCEAN,HOLE 1139A,-50.185,-50.185,63.94,63.94,SUBAQUATIC,-1427,-1427,"s 183-1139A-64R4,128-137 [5172]",TRACHYBASALT [5172],,,,,,,,,VOLCANIC ROCK,614,614,,,WHOLE_ROCK [5172] ,229510.58500000002,24692.808,,79916.901,,,,92343.24,51458.4,19900.319999999996,2323.374,,19757.57,27968.0089,4495.1363,,,,,,,,,,,,,,,,44200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,8.37,,,,6.28,,,,,,,,44.6,473,45.5,345,42.4,,,,,,,,,,,,0.23,840,46.7,98.4,12.3,51.5,10.9,3.72,10.9,1.54,8.23,1.6,3.79,,3.36,0.5,7.55,2.47,,,,,,,,,4.95,,3.2,0.81,,,,,,,,,,,,,,,,,,,,,,,,,118146
[5172],OCEANIC PLATEAU,KERGUELEN PLATEAU / SKIFF BANK / SITE 1139 / INDIAN OCEAN,HOLE 1139A,-50.185,-50.185,63.94,63.94,SUBAQUATIC,-1427,-1427,"s 183-1139A-65R1,69-76 [5172]",TRACHYBASALT [5172],,,,,,,,,VOLCANIC ROCK,615,615,,,WHOLE_ROCK [5172] ,228108.28,25112.346,,83092.407,,,,109132.92,40880.84,10492.895999999999,2091.0366,,21334.855,27522.894699999997,5324.3362,,,,,,,,,,,,,,,,89900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,447,45.6,341,43.5,,,,,,,,,,,,0.25,836,47.5,100,12.9,54.4,11.5,3.87,11.3,1.61,9.19,1.75,4.23,,3.76,0.54,7.55,2.6,,,,,,,,,5.89,,3.23,0.54,,,,,,,,,,,,,,,,,,,,,,,,,118147
[5172],OCEANIC PLATEAU,KERGUELEN PLATEAU / SKIFF BANK / SITE 1139 / INDIAN OCEAN,HOLE 1139A,-50.185,-50.185,63.94,63.94,SUBAQUATIC,-1427,-1427,"s 183-1139A-65R3,129-134 [5172]",TRACHYBASALT [5172],,,,,,,,,VOLCANIC ROCK,625,625,,,WHOLE_ROCK [5172] ,237456.98,29067.989999999994,,92089.674,,,,88145.81999999999,31804.15,12362.319999999998,3639.9525999999996,,21168.824999999997,20846.1817,4844.2731,,,,,,,,,,,,,,,,107000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,17.9,,,,11.2,,,,,,,,51.2,389,46.7,377,47.5,,,,,,,,,,,,0.76,822,49,102.7,12.8,53.9,11.3,3.98,11,1.58,8.71,1.64,4,,3.43,0.5,8.43,2.8,,,,,,,,,6.15,,3.55,0.61,,,,,,,,,,,,,,,,,,,,,,,,,118149
[5172],OCEANIC PLATEAU,KERGUELEN PLATEAU / SKIFF BANK / SITE 1139 / INDIAN OCEAN,HOLE 1139A,-50.185,-50.185,63.94,63.94,SUBAQUATIC,-1427,-1427,"s 183-1139A-66R3,2-10 [5172]",TRACHYBASALT [5172],,,,,,,,,VOLCANIC ROCK,625,625,,,WHOLE_ROCK [5172] ,230912.89,25112.346,,81504.65400000001,,,,84647.97,50886.64,19417.888,1316.5786,,21832.945,29229.1658,6895.451800000001,,,,,,,,,,,,,,,,55300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,75.2,,,,3.18,,,,,,,,42.5,509,52.3,341,40.7,,,,,,,,,,,,0.13,959,51.4,110,14.1,61.2,13,4.82,13.2,1.86,9.92,1.91,4.43,,3.83,0.55,7.63,2.47,,,,,,,,,4.77,,3.17,0.49,0.512545,,,0.705887,,38.19,,,,,,,,,,,,,,,,,,,118151
[5172],OCEANIC PLATEAU,KERGUELEN PLATEAU / SKIFF BANK / SITE 1139 / INDIAN OCEAN,HOLE 1139A,-50.185,-50.185,63.94,63.94,SUBAQUATIC,-1427,-1427,"s 183-1139A-66R3,70-84 [5172]",TRACHYBASALT [5172],,,,,,,,,VOLCANIC ROCK,630,630,,,WHOLE_ROCK [5172] ,229043.15000000002,26131.224000000002,,84150.909,,,,84647.97,59105.689999999995,8382.256,1858.6992,,22497.065,28784.0516,7200.9465,,,,,,,,,,,,,,,,92300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,50.7,,,,1.1,,,,,,,,45.1,538,52.6,346,45.3,,,,,,,,,,,,0.27,1040,55.1,116,15.1,65.1,13.9,5.1,14,1.93,10.17,1.9,4.52,,3.76,0.54,7.94,2.72,,,,,,,,,5.31,,3.33,0.59,,,,,,,,,,,,,,,,,,,,,,,,,118152
