Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[4828],INTRAPLATE VOLCANICS,AUSTRALIA / TASMAN OROGEN / QUEENSLAND / WHITSUNDAY VOLCANIC PROVINCE,NEW ENGLAND FAULT BELT,-20,-22,148,150,SUBAERIAL,,,s 11 [4828],DACITE [4828],,,LOWER [4828],CRETACEOUS [4828],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4828] ,321268.07550000004,3955.644,,81875.1297,,4546.1,25339.98,,16652.510000000002,6633.4400000000005,774.4580000000001,,25402.59,32864.2651,916.4841,26300.,,,,,,,,,,,,,,,26600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,51,27,,,,11,11,88,,,,,,84,287,35,287,10,,,,,,,,,,,,,534,26,59,,35,,,,,,,,,,,,,,,,,,,,,12,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,108654
[4828],INTRAPLATE VOLCANICS,AUSTRALIA / TASMAN OROGEN / QUEENSLAND / WHITSUNDAY VOLCANIC PROVINCE,NEW ENGLAND FAULT BELT,-20,-22,148,150,SUBAERIAL,,,s 12 [4828],RHYOLITE [4828],,,LOWER [4828],CRETACEOUS [4828],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4828] ,347491.17900000006,1678.152,,74359.76550000001,,2168.14,12203.61,,7075.53,2412.16,387.22900000000004,,33787.105,28487.3088,436.42100000000005,19400.,,,,,,,,,,,,,,,26800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,17,12,,,,10,13,71,,,,,,127,249,36,250,10,,,,,,,,,,,,,699,29,64,,36,,,,,,,,,,,,,,,,,,,,,21,,11,2,,,,,,,,,,,,,,,,,,,,,,,,,108655
[5357],INTRAPLATE VOLCANICS,AUSTRALIA / HALLS CREEK OROGEN / WESTERN AUSTRALIA / LAMBOO COMPLEX - WOODWARD DOLERITE,SW OF HALLS CREEK,-18.5,-18.5,127.5,127.5,SUBAERIAL,,,s 83330065 [5357],AMPHIBOLITE [5357],,1850000000 [5357],PALEO [5357],PROTEROZOIC [5357],,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [5357] ,236148.16200000004,3356.304,,76159.2189,,10980.58,62339.46,,81261.39,47700.464,1239.1328,,1079.195,20697.8103,261.8526,,,,,,,,,,,,,,,,15900.,,,,,,,,,,,,,,4,,,,,,,,,,20,,,,38,,201,481,,,,119,77,60,12,,,,,3,115,15,44,2,,,,0.0126,,,,,,,,,73,7,12,,7,,,,,,,,,,,,,,,,,0.0116,0.0106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177340
[5357],INTRAPLATE VOLCANICS,AUSTRALIA / HALLS CREEK OROGEN / WESTERN AUSTRALIA / LAMBOO COMPLEX - WOODWARD DOLERITE,SW OF HALLS CREEK,-18.5,-18.5,127.5,127.5,SUBAERIAL,,,s 83330066 [5357],AMPHIBOLITE [5357],,1850000000 [5357],PALEO [5357],PROTEROZOIC [5357],,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [5357] ,230866.14650000003,6472.872,,75312.4173,,13708.24,77730,,86621.64,41428.848,1161.687,,1079.195,11869.712,436.42100000000005,,,,,,,,,,,,,,,,15900.,,,,,,,,,,,,,,4,,,,,,,,,,1900,,,,39,,310,209,,,,87,91,81,17,,,,,0,120,25,62,2,,,,0.0025,,,,,,,,,33,5,10,,7,,,,,,,,,,,,,,,,0.00008,0.01,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177341
[5357],INTRAPLATE VOLCANICS,AUSTRALIA / HALLS CREEK OROGEN / WESTERN AUSTRALIA / LAMBOO COMPLEX - WOODWARD DOLERITE,SW OF HALLS CREEK,-18.5,-18.5,127.5,127.5,SUBAERIAL,,,s 83330067 [5357],AMPHIBOLITE [5357],,1850000000 [5357],PALEO [5357],PROTEROZOIC [5357],,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [5357] ,237223.2625,3236.436,,74677.3161,,10630.880000000001,60396.21,,94125.99,53067.520000000004,1084.2412000000002,,498.09,7270.1986,261.8526,,,,,,,,,,,,,,,,15600.,,,,,,,,,,,,,,5,,,,,,,,,,750,,,,36,,199,514,,,,118,86,59,11,,,,,0,110,13,44,2,,,,0.016,,,,,,,,,24,7,11,,9,,,,,,,,,,,,,,,,0.00006,0.0099,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177342
[5357],INTRAPLATE VOLCANICS,AUSTRALIA / HALLS CREEK OROGEN / WESTERN AUSTRALIA / LAMBOO COMPLEX - WOODWARD DOLERITE,SW OF HALLS CREEK,-18.5,-18.5,127.5,127.5,SUBAERIAL,,,s 83330070 [5357],AMPHIBOLITE [5357],,1850000000 [5357],PALEO [5357],PROTEROZOIC [5357],,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [5357] ,233577.26950000002,3356.304,,75365.34240000001,,10980.58,62339.46,,89194.56,55178.159999999996,1084.2412000000002,,1245.225,10089.2552,218.21050000000002,,,,,,,,,,,,,,,,18100.,,,,,,,,,,,,,,4,,,,,,,,,,50,,,,38,,203,504,,,,112,21,59,11,,,,,6,85,14,45,3,,,,0.0156,,,,,,,,,60,6,11,,8,,,,,,,,,,,,,,,,,,0.0061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177343
[5357],INTRAPLATE VOLCANICS,AUSTRALIA / HALLS CREEK OROGEN / WESTERN AUSTRALIA / LAMBOO COMPLEX - WOODWARD DOLERITE,SW OF HALLS CREEK,-18.5,-18.5,127.5,127.5,SUBAERIAL,,,s 83330071 [5357],AMPHIBOLITE [5357],,1850000000 [5357],PALEO [5357],PROTEROZOIC [5357],,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [5357] ,233343.55200000003,3176.502,,73036.638,,11050.52,62650.380000000005,,98414.19,54635.424,1084.2412000000002,,581.105,6157.4131,218.21050000000002,,,,,,,,,,,,,,,,16200.000000000002,,,,,,,,,,,,,,4,,,,,,,,,,800,,,,38,,196,534,,,,125,72,59,11,,,,,0,86,14,43,2,,,,0.0086,,,,,,,,,23,6,7,,7,,,,,,,,,,,,,,,,0.00003,0.0089,0.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177344
[5357],INTRAPLATE VOLCANICS,AUSTRALIA / HALLS CREEK OROGEN / WESTERN AUSTRALIA / LAMBOO COMPLEX - WOODWARD DOLERITE,SW OF HALLS CREEK,-18.5,-18.5,127.5,127.5,SUBAERIAL,,,s 83330074 [5357],AMPHIBOLITE [5357],,1850000000 [5357],PALEO [5357],PROTEROZOIC [5357],,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [5357] ,233577.26950000002,6412.938,,72613.2372,,13288.599999999999,75475.83,,82261.97,42393.712,1084.2412000000002,,1660.3000000000002,13724.3545,436.42100000000005,,,,,,,,,,,,,,,,19200.,,,,,,,,,,,,,,6,,,,,,,,,,,,,,41,,320,217,,,,92,100,80,15,,,,,4,101,24,64,3,,,,,,,,,,,,,32,6,11,,9.39,2.71,,,,,,,,,,,,,,,,,,,,,,,,0.511818,,,,,,,,,,,,,,,,,,,,,,,,177345
[5357],INTRAPLATE VOLCANICS,AUSTRALIA / HALLS CREEK OROGEN / WESTERN AUSTRALIA / LAMBOO COMPLEX - LAMBOO SILL,ABOUT 30 KM SOUTH OF HALLS CREEK,-18.4,-18.4,127.4,127.4,SUBAERIAL,,,s 83330026 [5357],AMPHIBOLITE [5357],,1850000000 [5357],PALEO [5357],PROTEROZOIC [5357],,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [5357] ,227687.5885,4794.72,,83727.50820000001,,31333.120000000003,45238.86,,66109.75,45589.82399999999,1006.7954,,498.09,16988.5253,218.21050000000002,,,,,,,,,,,,,,,,42600.,,,,,,,,,,,,,,7,,,,,,,,,,,,,,36,,212,296,,,,57,32,61,15,,,,,2,149,17,43,2,,,,0.0024,,,,,,,,,301,5,6,,5,,,,,,,,,,,,,,,,0.00013,0.0025,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177346
[5357],INTRAPLATE VOLCANICS,AUSTRALIA / HALLS CREEK OROGEN / WESTERN AUSTRALIA / LAMBOO COMPLEX - MCINTOSH SILL,,-17.7,-17.7,127.7,127.7,SUBAERIAL,,,s 83330042 [5357],AMPHIBOLITE [5357],1850000000 [5357],1850000000 [5357],PALEO [5357],PROTEROZOIC [5357],,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [5357] ,232922.8605,4375.182,,79652.2755,,15456.74,64049.520000000004,,82762.26,48062.28799999999,1161.687,,2241.405,10089.2552,349.1368,,,,,,,,,,,,,,,,17900.,,,,,,,,,,,,,,8,,,,,,,,,,40,,,,34,,194,574,,,,78,64,68,13,,,,,2,106,17,45,4,,,,0.0073,,,,,,,,,94,8,9,,7,,,,,,,,,,,,,,,,0.00011,,0.0086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177347
