Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[3052],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / SIMUSHIR / ZAVARITSKII / PACIFIC OCEAN,,46.93,46.93,151.95,151.95,SUBAERIAL,,,s 1 [3052],DACITE [3052],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3052] ,306216.6685,2876.832,,76317.9942,,14267.76,25262.25,,30231.81,8502.864,1161.687,,6973.259999999999,27374.523299999997,87.2842,,35200.,3900.,,,,,,,,,,,,1200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101290
[3052],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / SIMUSHIR / ZAVARITSKII / PACIFIC OCEAN,,46.93,46.93,151.95,151.95,SUBAERIAL,,,s 2 [3052],DACITE [3052],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3052] ,307245.02550000005,6053.334,,76847.2452,,42033.939999999995,3886.5,,29016.819999999996,7477.696,1548.9160000000002,,9131.650000000001,32790.079399999995,872.8420000000001,,9300.,1000.,,,,,,,,,,,,800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101291
[3052],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / SIMUSHIR / ZAVARITSKII / PACIFIC OCEAN,,46.93,46.93,151.95,151.95,SUBAERIAL,,,s 3 [3052],DACITE [3052],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3052] ,313134.70650000003,5813.597999999999,,73989.2898,,19093.62,16789.68,,22012.760000000002,6693.744000000001,1161.687,,3735.675,37018.6643,1571.1155999999999,,36200.,1000.,,,,,,,,,,,,900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101292
[3052],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / SIMUSHIR / ZAVARITSKII / PACIFIC OCEAN,,46.93,46.93,151.95,151.95,SUBAERIAL,,,s 4 [3052],DACITE [3052],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3052] ,313555.39800000004,5933.465999999999,,74677.3161,,12239.5,23163.54,,24728.62,5849.487999999999,1161.687,,7056.275,32938.4508,2007.5366000000001,,24400.,1200.,,,,,,,,,,,,1200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101293
[3052],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / SIMUSHIR / ZAVARITSKII / PACIFIC OCEAN,,46.93,46.93,151.95,151.95,SUBAERIAL,,,s 5 [3052],RHYODACITE [3052],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3052] ,328092.6265,3955.644,,73248.33840000001,,5525.26,12980.91,,21655.41,4040.368,697.0122,,6475.17,29748.465699999997,2531.2418,,34700.,400.,,,,,,,,,,,,1200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101294
[3052],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / ITURUP (ITIRUP) / MEDVHIZYA (MEDVHEZIA) / PACIFIC OCEAN,,45.33,45.33,148.87,148.87,SUBAERIAL,,,s 6 [3052],DACITE [3052],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3052] ,295185.2025,3416.2379999999994,,88437.84210000001,,16156.140000000001,13758.210000000001,,28373.59,8261.648000000001,1239.1328,,8799.59,27968.0089,916.4841,,40700.,15600.,,,,,,,,,,,,1600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101295
[3052],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / URUP / BERG / PACIFIC OCEAN,,46.12,46.12,150.18,150.18,SUBAERIAL,,,s 7 [3052],ANDESITE [3052],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3052] ,285182.0935,3296.37,,97276.3338,,23989.420000000002,22774.890000000003,,48456.66,15739.344,774.4580000000001,,6807.23,18917.353499999997,872.8420000000001,,6600.,700.0000000000001,,,,,,,,,,,,500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101296
[3052],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / PARAMUSHIR / EBEKO / PACIFIC OCEAN,,50.68,50.68,156,156,SUBAERIAL,,,s 8 [3052],ANDESITE [3052],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3052] ,284293.967,7072.2119999999995,,89866.81980000001,,20352.54,28604.640000000003,,35663.53,15076.,1394.0244,,17931.24,22478.267099999997,1527.4734999999998,,10300.,2200.,,,,,,,,,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101297
[3052],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / PARAMUSHIR / KARPINSKII / PACIFIC OCEAN,,50,50.8,154.5,156,SUBAERIAL,,,s 9 [3052],RHYODACITE [3052],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3052] ,329354.701,2397.36,,75894.5934,,5175.5599999999995,9871.710000000001,,19296.9,3738.848,697.0122,,17350.135,35089.8361,,,28300.,800.,,,,,,,,,,,,400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101298
[3052],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / KUNASHIR / GOLOVNIN / PACIFIC OCEAN,CALDERA,43.88,43.88,145.53,145.53,SUBAERIAL,,,s 10 [3052],RHYODACITE [3052],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3052] ,329261.21400000004,4914.588,,77323.5711,,10840.7,10493.550000000001,,20726.3,4221.28,929.3496,,5229.945,29006.6087,2138.4629,,27500.,1300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101299
